業種名,業種説明
水産・農林業,本業種は、農業、林業、および水産養殖業を含む漁業に関する事業を行う企業が分類される業種である。具体的には、穀物や野菜、果樹などの栽培を行う耕種農業、牛や豚、鶏などを飼養する畜産業、山林用苗木の育成や素材生産を行う林業、海面・内水面における水産動植物の採捕や、人工的な設備を用いた養殖などの水産養殖業が広く含まれる。
鉱業,本業種は、天然に固体・液体・ガスの状態で存在する鉱物を掘採し、選鉱や品位向上処理を行う事業である。具体的には、金属鉱、非金属鉱、石炭、原油、天然ガスなどの採掘のほか、砂利採取業、採石業、鉱物を探査するための地質調査や物理探鉱、試すいといった探鉱作業、開坑や掘さくなどの鉱山開発作業も含まれる。
建設業,本業種は、土木施設や建築物の建設工事を発注者から直接請け負う、あるいは自ら手掛ける事業を行う。総合的な建築・土木工事を担うゼネコンのほか、下請けとして特定の工事のみを担う職別工事業、電気設備、空調設備、給排水衛生設備、昇降機などを手掛ける設備工事業も含まれ、住宅、ビル、道路、橋梁、プラントといった構造物の新築・改修・維持管理が代表的な事業内容である。
食料品,本業種は、畜産食料品、水産食料品、農産加工品、調味料、精穀・製粉、パン・菓子、めん類、豆腐、冷凍調理食品、惣菜など、食用に供する製品の製造・加工・販売を行う事業である。原料の仕入れから加工、包装、卸売・小売への出荷までを担う食品メーカーが広く含まれる。
繊維製品,本業種は、製糸、紡績、織物、ニット生地、染色整理、縫製など、糸や生地から繊維製品を製造する事業を行う。天然繊維・化学繊維を問わず、原糸の生産から生地の織布・編み立て、衣料品やアパレル製品の企画・製造・販売までを手掛ける企業が含まれる。
パルプ・紙,本業種は、木材やその他の植物原料、古紙などを原料としてパルプおよび紙を製造し、さらに板紙、加工紙、紙製品を製造・加工する事業を行う。段ボール原紙や印刷用紙、家庭紙（ティッシュペーパー、トイレットペーパーなど）、紙加工品の製造・販売が代表的な事業内容である。
化学,本業種は、原油や天然ガス、鉱物などを原料として化学的処理を行い、樹脂、合成繊維原料、塗料、界面活性剤、肥料、化成品、化粧品原料などを製造・販売する事業を行う。石油化学製品や機能性化学品、合成樹脂、農薬、医薬品原料などの幅広い分野が含まれ、素材産業として自動車や電機、食品など様々な製造業のサプライチェーンを支えている。
医薬品,本業種は、医薬品の原薬・原液から製剤に至るまでの製造・販売を行う事業である。具体的には、医療用医薬品やジェネリック医薬品の製剤化を行う医薬品製剤製造業、ワクチンや血清、血液製剤などを製造する生物学的製剤製造業、生薬・漢方製剤の調製、動物用医薬品の製造などが含まれ、研究開発から臨床試験（治験）、製造、販売までを一貫して担う製薬企業が広く分類される。
石油・石炭製品,本業種は、原油を精製してガソリン、灯油、軽油、重油、潤滑油、グリースなどの石油製品を製造する事業、および石炭を原料としてコークスや練炭、豆炭などの石炭製品を製造する事業を行う。石油精製、石油化学基礎製品の生産、道路舗装用のアスファルト（舗装材料）の製造・販売も含まれる。
ゴム製品,本業種は、天然ゴムや合成ゴムを原料として、タイヤ、チューブ、工業用ゴム製品、ゴムベルト、ゴムホース、ゴム引布などのゴム製品を製造・販売する事業を行う。自動車用タイヤをはじめとする輸送機器向け部材から、ゴム製履物、更生タイヤ、再生ゴムまで幅広い工業用・生活用のゴム製品が含まれる。
